mention_a_id	mention_b_id	mention_a	mention_b	sim
31720_200706-214225-01	12951_201709-349870-02	children in crisis	safe children	0.6129387
31720_200706-214225-01	42710_200610-13635-02	children in crisis	the children of service families	0.51473844
31720_200706-214225-01	51620_198306-224351-02	children in crisis	confident children	0.53306484
31720_200706-214225-01	12951_201309-343770-02	children in crisis	The survivors	0.47431266
31720_200706-214225-01	51320_201706-244219-01	children in crisis	troubled students	0.5347065
31720_200706-214225-01	51620_199204-227961-01	children in crisis	civil society in crisis situations	0.51415944
31720_200706-214225-01	42110_201309-16588-01	children in crisis	the future child	0.48349968
31720_200706-214225-01	11620_200209-393570-01	children in crisis	the orphaned children	0.6031011
31720_200706-214225-01	34512_199310-251027-01	children in crisis	childrens cancer patients	0.48304015
31720_200706-214225-01	21112_198712-28581-01	children in crisis	childrens soldiers	0.544259
42110_199010-05570-01	21111_200706-60817-02	persons in custody	Registered persons	0.4535191
42110_199010-05570-01	35130_201910-376853-01	persons in custody	accompanying persons	0.52412677
42110_199010-05570-01	21914_199906-48232-01	persons in custody	temporarily admitted persons	0.51017
92436_200710-361665-01	41113_199809-133812-03	pediatric psychiatrists	Counselors	0.46462402
92436_200710-361665-01	32110_199403-282271-04	pediatric psychiatrists	Psychologists	0.5374779
92436_200710-361665-01	31720_200706-214175-01	pediatric psychiatrists	psychotherapists	0.5334313
92436_200710-361665-01	34512_199310-251027-01	pediatric psychiatrists	childrens cancer patients	0.5118446
92436_200710-361665-01	64110_201409-356618-01	pediatric psychiatrists	pediatric oncologists	0.64305407
92436_200710-361665-01	31720_200706-214225-01	pediatric psychiatrists	children in crisis	0.47776246
43120_201910-107767-01	22110_199405-313749-01	the families of men who go on strike	white and blue-collar workers	0.47893447
43120_201910-107767-01	64110_201409-356406-01	the families of men who go on strike	striking workers	0.69042134
43120_201910-107767-01	31720_200706-212642-02	the families of men who go on strike	Black families	0.47573847
43120_201910-107767-01	21112_201405-78293-02	the families of men who go on strike	Employment society	0.47967303
43120_201910-107767-01	51320_199204-226610-02	the families of men who go on strike	military families	0.5425844
43120_201910-107767-01	42420_201710-19583-04	the families of men who go on strike	forced workers	0.50354916
43120_201910-107767-01	11320_201809-400136-01	the families of men who go on strike	abusive families	0.465687
43120_201910-107767-01	41320_199809-135318-01	the families of men who go on strike	dependent workers	0.45987517
41521_199410-131870-01	12951_200509-337626-01	children to escape their failing schools	ninth-grade students	0.45705858
41521_199410-131870-01	35120_201910-375089-02	children to escape their failing schools	Adults wishing to return to education	0.45428705
41521_199410-131870-01	61320_197211-401951-02	children to escape their failing schools	Black children	0.4614493
41521_199410-131870-01	42420_200809-14752-02	children to escape their failing schools	children in the European Union	0.46173942
41521_199410-131870-01	41113_200209-137024-02	children to escape their failing schools	kids walking or cycling to school	0.56842935
41521_199410-131870-01	43810_200710-103307-02	children to escape their failing schools	failing parents	0.57640576
41521_199410-131870-01	12951_201709-349870-02	children to escape their failing schools	safe children	0.4699094
41521_199410-131870-01	23113_201310-300678-04	children to escape their failing schools	Schools	0.54685783
41521_199410-131870-01	86110_201404-268686-02	children to escape their failing schools	school owners	0.48655772
41521_199410-131870-01	51620_198306-224351-02	children to escape their failing schools	confident children	0.45378226
41521_199410-131870-01	51320_201706-244219-01	children to escape their failing schools	troubled students	0.5548262
41521_199410-131870-01	21914_199906-49052-01	children to escape their failing schools	children subject to compulsory schooling	0.60524225
41521_199410-131870-01	11620_200209-393570-01	children to escape their failing schools	the orphaned children	0.4637811
41521_199410-131870-01	14110_201104-199798-01	children to escape their failing schools	all children from birth until compulsory education age	0.4897552
41521_199410-131870-01	11620_201809-400440-01	children to escape their failing schools	all children at decile 1 to 4 primary and intermediate schools	0.5720494
41521_199410-131870-01	14110_201104-199995-01	children to escape their failing schools	educational seekers	0.45816636
41521_199410-131870-01	31720_200706-214225-01	children to escape their failing schools	children in crisis	0.5906352
21914_199906-51580-01	42420_200809-14752-02	children who receive ORS funding	children in the European Union	0.460599
21914_199906-51580-01	42710_200610-13635-02	children who receive ORS funding	the children of service families	0.50682133
21914_199906-51580-01	21914_199906-49052-01	children who receive ORS funding	children subject to compulsory schooling	0.4655791
21914_199906-51580-01	11620_200209-393570-01	children who receive ORS funding	the orphaned children	0.46031946
21914_199906-51580-01	51620_199204-227116-01	children who receive ORS funding	beneficiaries of these programs	0.46496558
21914_199906-51580-01	31720_200706-214225-01	children who receive ORS funding	children in crisis	0.45452923
61620_200011-422045-01	41113_201309-154787-03	parental guardians	parents in parental leave	0.5436733
61620_200011-422045-01	22110_200205-317982-05	parental guardians	non-Dutch-speaking parents	0.47427827
61620_200011-422045-01	61320_199611-417993-03	parental guardians	A student under 24 years old not living with their parents	0.4632644
61620_200011-422045-01	86110_201004-261475-01	parental guardians	adults in the daycare institutions	0.51841533
61620_200011-422045-01	41113_201309-152664-02	parental guardians	Familial	0.4605136
61620_200011-422045-01	21112_201006-77079-02	parental guardians	The guardians	0.641662
61620_200011-422045-01	42110_200809-14342-02	parental guardians	the inheritors	0.46813583
61620_200011-422045-01	51320_199204-226610-02	parental guardians	military families	0.47084934
61620_200011-422045-01	171101_200907-305776-02	parental guardians	parents of two-year-olds	0.5604971
61620_200011-422045-01	43810_200710-103307-02	parental guardians	failing parents	0.51495713
61620_200011-422045-01	42710_200610-13635-02	parental guardians	the children of service families	0.54343903
61620_200011-422045-01	61620_198011-409612-01	parental guardians	widowed mothers	0.47914413
61620_200011-422045-01	51620_201505-241135-02	parental guardians	Youth representatives	0.4633113
61620_200011-422045-01	63110_201309-02320-01	parental guardians	custodian	0.47813845
61620_200011-422045-01	11620_200209-393570-01	parental guardians	the orphaned children	0.50095665
61620_200011-422045-01	11320_201809-400136-01	parental guardians	abusive families	0.49042714
61620_200011-422045-01	11620_201409-398526-01	parental guardians	orphan	0.49531782
61620_200011-422045-01	42110_199010-05570-01	parental guardians	persons in custody	0.5723859
21914_200305-55558-01	12951_199709-334275-01	citizens in difficult situations	non-adaptive citizens	0.5968116
21914_200305-55558-01	42110_199010-04591-01	citizens in difficult situations	second-class citizens	0.56144065
21914_200305-55558-01	21914_199906-48690-02	citizens in difficult situations	people at risk	0.48136914
21914_200305-55558-01	41521_199410-131948-03	citizens in difficult situations	Committed citizens	0.57001555
21914_200305-55558-01	92436_201510-366715-03	citizens in difficult situations	the people whose lives are affected by crime	0.48388052
21914_200305-55558-01	41320_202109-176167-02	citizens in difficult situations	the glass citizens	0.53040683
21914_200305-55558-01	61320_200011-420445-02	citizens in difficult situations	the Italian citizens	0.45915174
21914_200305-55558-01	43110_200710-102136-02	citizens in difficult situations	Mirals citizens	0.45384088
21914_200305-55558-01	12951_199709-333328-04	citizens in difficult situations	New citizens	0.6224381
21914_200305-55558-01	61620_198011-408792-02	citizens in difficult situations	people who suffer from faulty economic and social policies	0.4841115
21914_200305-55558-01	42110_201309-16932-02	citizens in difficult situations	People without papers	0.4533704
21914_200305-55558-01	12951_200109-335998-02	citizens in difficult situations	the citizens of the District of Columbia	0.47005734
21914_200305-55558-01	97330_201112-387846-02	citizens in difficult situations	The average citizen	0.5096147
21914_200305-55558-01	97330_200410-384112-03	citizens in difficult situations	Those who have already obtained citizenship	0.45265514
21914_200305-55558-01	51320_200106-231332-01	citizens in difficult situations	those who face particular difficulties	0.5703331
21914_200305-55558-01	51320_201005-236016-01	citizens in difficult situations	Those who sacrifice and work free of charge around the clock for the safety of their fellow citizens	0.49146098
21914_200305-55558-01	51620_199204-227961-01	citizens in difficult situations	civil society in crisis situations	0.55014366
21914_200305-55558-01	21111_199906-41203-01	citizens in difficult situations	people in loss of autonomy	0.48157012
21914_200305-55558-01	14820_201504-202627-01	citizens in difficult situations	the spoken citizen	0.55296934
21914_200305-55558-01	34710_200709-253643-01	citizens in difficult situations	categories of citizens	0.5853862
21914_200305-55558-01	86620_199805-260221-01	citizens in difficult situations	persons deprived of liberty	0.46597776
21914_200305-55558-01	31720_200706-214824-01	citizens in difficult situations	conscious citizens	0.5724727
41320_199410-131149-01	21111_200706-59253-01	future citizens	future residents	0.7884679
41320_199410-131149-01	12951_199709-334275-01	future citizens	non-adaptive citizens	0.5790242
41320_199410-131149-01	42110_199010-04591-01	future citizens	second-class citizens	0.59730446
41320_199410-131149-01	51620_199204-227241-02	future citizens	those who want to stay	0.5115693
41320_199410-131149-01	41521_199410-131948-03	future citizens	Committed citizens	0.59731555
41320_199410-131149-01	41320_202109-176167-02	future citizens	the glass citizens	0.45733702
41320_199410-131149-01	51320_199204-226342-02	future citizens	millennial	0.46796
41320_199410-131149-01	43110_200710-102136-02	future citizens	Mirals citizens	0.48460847
41320_199410-131149-01	12951_199709-333328-04	future citizens	New citizens	0.6562251
41320_199410-131149-01	97330_201112-387846-02	future citizens	The average citizen	0.47676033
41320_199410-131149-01	97330_200410-384112-03	future citizens	Those who have already obtained citizenship	0.60931087
41320_199410-131149-01	51320_201005-236016-01	future citizens	Those who sacrifice and work free of charge around the clock for the safety of their fellow citizens	0.46147186
41320_199410-131149-01	51620_199705-230375-01	future citizens	people who want to migrate	0.48433828
41320_199410-131149-01	42110_201309-16588-01	future citizens	the future child	0.55306756
41320_199410-131149-01	42110_200809-14251-01	future citizens	future mothers	0.46865332
41320_199410-131149-01	14820_201504-202627-01	future citizens	the spoken citizen	0.5464001
41320_199410-131149-01	34710_200709-253643-01	future citizens	categories of citizens	0.5222311
41320_199410-131149-01	64110_201709-358843-01	future citizens	future adults	0.6193308
41320_199410-131149-01	31720_200706-214824-01	future citizens	conscious citizens	0.54383844
41320_199410-131149-01	21914_200305-55558-01	future citizens	citizens in difficult situations	0.5150116
31720_200706-215644-01	21111_200706-59253-01	planners	future residents	0.45749822
31720_200706-215644-01	92436_201110-364184-02	planners	Advisors	0.5528251
31720_200706-215644-01	51620_199204-227840-02	planners	Architects	0.5459374
31720_200706-215644-01	14820_201904-205227-02	planners	land managers	0.4735916
31720_200706-215644-01	61320_200811-426420-02	planners	construction practitioners	0.4595256
31720_200706-215644-01	21914_200305-55460-07	planners	consultants	0.5676899
61320_200811-426041-01	41320_202109-176023-02	city presidents	local executive presidents	0.7365593
61320_200811-426041-01	21112_199906-47099-02	city presidents	the leaders of Europe	0.53754807
61320_200811-426041-01	21111_198510-24980-02	city presidents	presidents	0.73213166
61320_200811-426041-01	42110_200809-14114-02	city presidents	Secretaries of State	0.48604512
61320_200811-426041-01	42110_201909-20766-03	city presidents	the presidents of courts	0.52780545
61320_200811-426041-01	41320_202109-175908-01	city presidents	the person holding the highest office in the state	0.4654927
31720_200206-210726-01	42110_199010-04591-01	the class	second-class citizens	0.46356678
31720_200206-210726-01	64110_201409-355437-02	the class	a two- or three-class society	0.53018504
31720_200206-210726-01	23113_201310-300678-04	the class	Schools	0.46330613
31720_200206-210726-01	82110_200606-113863-02	the class	The objectors	0.4659419
22722_201209-326315-01	22110_200205-318438-01	people displaced by climate change	A climate-neutral society	0.4983217
22722_201209-326315-01	35120_201910-375440-02	people displaced by climate change	Those who cause environmental damage	0.45747313
22722_201209-326315-01	92436_201910-370037-02	people displaced by climate change	people with scarce resources	0.48835602
22722_201209-326315-01	41113_200909-145999-03	people displaced by climate change	those who are granted residence on humanitarian grounds or due to family reunification	0.45287374
22722_201209-326315-01	41521_201309-162021-02	people displaced by climate change	those who for various reasons have had to leave their homeland	0.54281604
22722_201209-326315-01	51620_199705-230375-01	people displaced by climate change	people who want to migrate	0.50318176
22722_201209-326315-01	51110_201505-239039-01	people displaced by climate change	victims of wars, environmental catastrophes, famine or persecution	0.46586156
92436_200710-361309-01	22110_200205-318438-01	the climate scientists	A climate-neutral society	0.5800505
92436_200710-361309-01	35120_201910-375440-02	the climate scientists	Those who cause environmental damage	0.4873572
92436_200710-361309-01	21914_200706-70226-02	the climate scientists	authors	0.50743645
92436_200710-361309-01	97710_201112-388741-02	the climate scientists	British scientists and	0.5640136
92436_200710-361309-01	82110_201005-115917-02	the climate scientists	scientists in Canada	0.6087389
92436_200710-361309-01	21111_201006-73720-02	the climate scientists	ecologists	0.6130949
92436_200710-361309-01	41113_201309-152617-02	the climate scientists	educational scientists	0.57819897
92436_200710-361309-01	42110_200610-12884-02	the climate scientists	the environment	0.46545228
92436_200710-361309-01	41320_198010-121284-02	the climate scientists	German researchers	0.45244652
92436_200710-361309-01	86110_201804-273656-02	the climate scientists	Polish scientists	0.54333997
92436_200710-361309-01	51620_197905-222701-02	the climate scientists	Stewards of our environment	0.46999013
92436_200710-361309-01	51320_201505-240689-01	the climate scientists	Top talents for science	0.46209937
92436_200710-361309-01	21112_201405-82348-01	the climate scientists	leaders in science and technology	0.5300892
92436_200710-361309-01	22722_201209-326315-01	the climate scientists	people displaced by climate change	0.47207126
21914_199906-50379-01	61620_198811-414918-02	the U.S. Coast Guard	recruiters	0.47795832
21914_199906-50379-01	51620_201912-250202-02	the U.S. Coast Guard	Marines	0.610738
21914_199906-50379-01	62110_200810-96861-02	the U.S. Coast Guard	seafarers	0.5653551
21914_199906-50379-01	51951_201505-243411-02	the U.S. Coast Guard	militia	0.45949566
21914_199906-50379-01	92436_201110-364186-02	the U.S. Coast Guard	the reserve forces	0.49200392
21914_199906-50379-01	13951_198112-183247-02	the U.S. Coast Guard	The Men and Women of Defense	0.46062672
21914_199906-50379-01	41320_200509-143262-02	the U.S. Coast Guard	civilian peacekeepers	0.51378804
21914_199906-50379-01	64110_201409-352947-01	the U.S. Coast Guard	the captain	0.46209443
21914_199906-50379-01	51620_199705-230031-01	the U.S. Coast Guard	guard of the Seals	0.6003872
82110_200606-115081-01	171101_199707-302977-01	cohabitants	-marital communities	0.51287186
82110_200606-115081-01	21111_199111-31105-02	cohabitants	same-sex couples who marry overseas	0.47049594
82110_200606-115081-01	51320_201005-235800-01	cohabitants	marriage migrants	0.4959699
82110_200606-115081-01	51320_201912-249184-02	cohabitants	pensioner couples	0.5243434
82110_200606-115081-01	43901_200710-104046-03	cohabitants	those who live together	0.53612995
82110_200606-115081-01	14820_201104-200678-02	cohabitants	The representatives of the social partners	0.5203789
82110_200606-115081-01	92436_201110-363222-02	cohabitants	foreign spouses	0.54747957
82110_200606-115081-01	35130_201910-376853-01	cohabitants	accompanying persons	0.45312053
82110_200606-115081-01	41320_199809-135318-01	cohabitants	dependent workers	0.49753278
92436_201110-365176-01	22110_199405-313749-01	their colleagues	white and blue-collar workers	0.4834137
92436_201110-365176-01	171101_200907-305290-01	their colleagues	The guest workers	0.5425921
92436_201110-365176-01	64110_201409-356406-01	their colleagues	striking workers	0.5304121
92436_201110-365176-01	51951_201706-247381-01	their colleagues	Sick workers	0.5079094
92436_201110-365176-01	21111_200706-62468-02	their colleagues	hosts	0.5085255
92436_201110-365176-01	86110_201004-262547-02	their colleagues	Journalists	0.4919446
92436_201110-365176-01	86110_201404-268377-02	their colleagues	street corner workers	0.46604174
92436_201110-365176-01	51951_201706-247239-02	their colleagues	stakeholders	0.45727295
92436_201110-365176-01	22110_201703-327267-03	their colleagues	those who are not entirely involved	0.4753364
92436_201110-365176-01	21914_200706-70226-02	their colleagues	authors	0.50176775
92436_201110-365176-01	81111_199004-254977-02	their colleagues	Billionaires	0.46557412
92436_201110-365176-01	86110_201004-262955-02	their colleagues	Chancellors	0.4665226
92436_201110-365176-01	13720_200111-189358-02	their colleagues	crews	0.52709365
92436_201110-365176-01	21112_198712-29417-02	their colleagues	the attackers	0.46371502
92436_201110-365176-01	41113_200909-147152-04	their colleagues	developers	0.45786476
92436_201110-365176-01	41521_201309-161106-02	their colleagues	the drivers	0.46749008
92436_201110-365176-01	41320_201709-167284-02	their colleagues	Employees Dispatched	0.52952856
92436_201110-365176-01	86110_201804-273718-02	their colleagues	Field workers	0.512704
92436_201110-365176-01	61320_202011-433870-02	their colleagues	freelancers	0.4834025
92436_201110-365176-01	23113_200406-298799-02	their colleagues	the auditors	0.4694187
92436_201110-365176-01	21111_201006-75206-02	their colleagues	jobseekers	0.5954968
92436_201110-365176-01	97330_200410-385196-02	their colleagues	Liberal professionals	0.5169666
92436_201110-365176-01	51320_201005-235661-01	their colleagues	the Marxists	0.456249
92436_201110-365176-01	42420_201710-19583-04	their colleagues	forced workers	0.5060408
92436_201110-365176-01	22110_200205-318821-02	their colleagues	the others	0.4942206
92436_201110-365176-01	71110_201212-289922-02	their colleagues	our	0.4567291
92436_201110-365176-01	71111_201412-289975-03	their colleagues	our contemporaries	0.4749236
92436_201110-365176-01	61620_198411-412272-02	their colleagues	essential workers	0.47229844
92436_201110-365176-01	41320_201309-157293-02	their colleagues	Servicewomen	0.45581448
92436_201110-365176-01	41320_202109-176086-03	their colleagues	sex workers	0.50059223
92436_201110-365176-01	61620_198011-408652-02	their colleagues	The few	0.4585979
92436_201110-365176-01	51620_197410-221715-02	their colleagues	they	0.53097385
92436_201110-365176-01	62110_200810-95639-02	their colleagues	the losers	0.4700329
92436_201110-365176-01	14820_201104-200678-02	their colleagues	The representatives of the social partners	0.48542958
92436_201110-365176-01	13951_198709-183723-02	their colleagues	the villagers	0.46508336
92436_201110-365176-01	42110_199010-05414-03	their colleagues	Those who are expelled	0.45613813
92436_201110-365176-01	64110_201409-354564-01	their colleagues	the people who have power	0.4595803
92436_201110-365176-01	42110_201909-20646-01	their colleagues	those who use them	0.47020555
92436_201110-365176-01	92436_201110-365135-01	their colleagues	some privileged	0.48617178
92436_201110-365176-01	12110_201709-347258-01	their colleagues	allies	0.5125632
92436_201110-365176-01	21111_199111-32808-01	their colleagues	external employees	0.45184764
92436_201110-365176-01	41113_202109-173128-01	their colleagues	those who are behind	0.48197132
92436_201110-365176-01	92436_201110-364900-01	their colleagues	their associates	0.69925964
92436_201110-365176-01	21914_200706-67435-01	their colleagues	the automotive workers	0.48623878
92436_201110-365176-01	21112_198510-27089-01	their colleagues	the players	0.48618957
92436_201110-365176-01	86710_201404-271911-01	their colleagues	the protagonists	0.46074447
83110_201103-196759-01	22110_200205-317143-03	collectors	debtors	0.5300016
83110_201103-196759-01	61320_201611-431137-04	collectors	Account holders	0.53124154
83110_201103-196759-01	92436_201910-370091-02	collectors	money holders	0.59396064
83110_201103-196759-01	35130_201910-376354-09	collectors	creditors	0.62909186
83110_201103-196759-01	82110_200606-113863-02	collectors	The objectors	0.4576913
83110_201103-196759-01	80710_201305-94428-01	collectors	merchants	0.4526838
83110_201103-196759-01	13720_200111-189997-01	collectors	depositors	0.46231568
86710_201804-275221-01	21111_201006-76127-01	the colonizers	reformists	0.4760139
92436_200710-361280-01	21914_198712-30723-02	fighting	religion	0.4665727
92436_200710-361280-01	41521_202109-178517-04	fighting	combatants	0.6313046
92436_200710-361280-01	21112_198712-29417-02	fighting	the attackers	0.5029483
92436_200710-361280-01	86710_201804-275228-04	fighting	freedom fighters	0.5806706
92436_200710-361280-01	86110_201004-263789-02	fighting	opponents	0.5338825
92436_200710-361280-01	51320_199204-226649-03	fighting	POWs	0.46661136
92436_200710-361280-01	171101_201506-308944-02	fighting	the Crime Fighters	0.49591035
92436_200710-361280-01	31720_198603-206666-01	fighting	insurgents	0.468378
92436_200710-361280-01	41113_199809-133442-01	fighting	aggressors	0.45686433
92436_200710-361280-01	96710_200606-379827-01	fighting	our forces	0.4797882
92436_200710-361280-01	51620_200106-232586-01	fighting	champions	0.47350058
86710_201004-266185-01	97710_201112-388802-01	commandos	detainees	0.4600793
86710_201004-266185-01	64110_201409-353830-03	commandos	Afghan security forces	0.47918078
86710_201004-266185-01	51620_201912-250202-02	commandos	Marines	0.52558684
86710_201004-266185-01	61320_201611-431170-05	commandos	hostages	0.4652352
86710_201004-266185-01	22110_201006-323728-02	commandos	the members of the Bundeswehr	0.4745204
86710_201004-266185-01	21112_198712-29417-02	commandos	the attackers	0.51672745
86710_201004-266185-01	86710_201804-275228-04	commandos	freedom fighters	0.4666654
86710_201004-266185-01	61320_198011-406639-02	commandos	pilots	0.4661434
86710_201004-266185-01	51951_201505-243411-02	commandos	militia	0.46265328
86710_201004-266185-01	171101_201506-308944-02	commandos	the Crime Fighters	0.46592617
86710_201004-266185-01	41320_200509-143262-02	commandos	civilian peacekeepers	0.51044595
86710_201004-266185-01	51320_201505-240401-01	commandos	traitors	0.5463687
86710_201004-266185-01	92436_201510-368092-01	commandos	a paramilitary organisation	0.56188726
86710_201004-266185-01	31720_198603-206666-01	commandos	insurgents	0.5149611
86710_201004-266185-01	12110_201709-347258-01	commandos	allies	0.4662135
86710_201004-266185-01	21112_198712-28581-01	commandos	childrens soldiers	0.45537496
11110_201409-396742-01	31720_200706-215921-01	delegates	the delegations	0.7161858
11110_201409-396742-01	42110_201710-18415-02	delegates	marshals	0.49959537
11110_201409-396742-01	12951_200509-338862-02	delegates	the members of the Commission	0.507542
11110_201409-396742-01	64110_201409-354156-03	delegates	Commissioners of the Queen	0.45495152
11110_201409-396742-01	43810_200710-103187-02	delegates	the legislator	0.47127163
11110_201409-396742-01	51320_200106-232024-03	delegates	the signatories	0.4535218
11110_201409-396742-01	51620_200505-235203-01	delegates	the mandate holders	0.51817775
22110_200611-322607-01	23112_198906-292612-01	market speculators	Investors	0.47800136
22110_200611-322607-01	80710_200506-92749-01	market speculators	financial speculators	0.7857689
22110_200611-322607-01	43810_200310-101160-02	market speculators	the speculators	0.7569792
22110_200611-322607-01	23113_200406-298428-01	market speculators	buyers of securities	0.513616
86421_199805-257723-01	21112_201405-88552-04	the guerrillas	nationalists	0.48585442
86421_199805-257723-01	64110_201409-353830-03	the guerrillas	Afghan security forces	0.47194934
86421_199805-257723-01	12951_199309-332244-02	the guerrillas	the Cuban people	0.4561898
86421_199805-257723-01	62110_200810-97125-02	the guerrillas	settlers	0.45902172
86421_199805-257723-01	22110_201006-323728-02	the guerrillas	the members of the Bundeswehr	0.4762091
86421_199805-257723-01	41521_202109-178517-04	the guerrillas	combatants	0.62689686
86421_199805-257723-01	21112_198712-29417-02	the guerrillas	the attackers	0.6397438
86421_199805-257723-01	21914_200305-56094-02	the guerrillas	dictators	0.45861545
86421_199805-257723-01	62110_200810-96923-02	the guerrillas	the members of the coalition	0.4927262
86421_199805-257723-01	86710_201804-275228-04	the guerrillas	freedom fighters	0.6371276
86421_199805-257723-01	61320_202011-434020-02	the guerrillas	GENERALS	0.48996288
86421_199805-257723-01	42110_198611-04048-02	the guerrillas	German troops	0.51400447
86421_199805-257723-01	32720_200105-286821-02	the guerrillas	Hungarian soldiers	0.5195717
86421_199805-257723-01	51320_201005-235661-01	the guerrillas	the Marxists	0.48570704
86421_199805-257723-01	51951_201505-243411-02	the guerrillas	militia	0.5817094
86421_199805-257723-01	86110_201004-263789-02	the guerrillas	opponents	0.46273774
86421_199805-257723-01	41521_202109-177584-02	the guerrillas	pioneers	0.50776726
86421_199805-257723-01	92436_201110-364186-02	the guerrillas	the reserve forces	0.4668623
86421_199805-257723-01	51110_201912-248386-02	the guerrillas	the Salvadoran people	0.4651426
86421_199805-257723-01	21111_198510-24542-02	the guerrillas	the officials of the Soros mercenary army	0.46226847
86421_199805-257723-01	12951_201309-343770-02	the guerrillas	The survivors	0.507368
86421_199805-257723-01	41320_202109-176129-02	the guerrillas	the Taliban	0.49997467
86421_199805-257723-01	61320_202011-434195-03	the guerrillas	the shooters	0.4573478
86421_199805-257723-01	171101_201506-308944-02	the guerrillas	the Crime Fighters	0.5854106
86421_199805-257723-01	13951_198112-183247-02	the guerrillas	The Men and Women of Defense	0.45956582
86421_199805-257723-01	41113_202109-175240-02	the guerrillas	the communes	0.5111031
86421_199805-257723-01	41953_201709-170961-02	the guerrillas	The pacifists	0.54807615
86421_199805-257723-01	41320_200509-143262-02	the guerrillas	civilian peacekeepers	0.507054
86421_199805-257723-01	51320_200106-231336-01	the guerrillas	those who have borne the burden of fighting a difficult and unpopular war	0.501617
86421_199805-257723-01	51320_201505-240401-01	the guerrillas	traitors	0.4989928
86421_199805-257723-01	31110_201206-217379-01	the guerrillas	unionist	0.46471816
86421_199805-257723-01	31110_201206-217441-02	the guerrillas	the Vietnamese	0.5085238
86421_199805-257723-01	92436_201510-368092-01	the guerrillas	a paramilitary organisation	0.6092067
86421_199805-257723-01	31720_198603-206666-01	the guerrillas	insurgents	0.7097957
86421_199805-257723-01	12110_201709-347258-01	the guerrillas	allies	0.50687873
86421_199805-257723-01	21914_200706-68103-01	the guerrillas	bandits	0.46881235
86421_199805-257723-01	86710_201404-271911-01	the guerrillas	the protagonists	0.45790368
86421_199805-257723-01	92436_200710-361280-01	the guerrillas	fighting	0.48517227
86421_199805-257723-01	86710_201004-266185-01	the guerrillas	commandos	0.53077894
11620_199109-391286-01	92436_201110-365148-03	defense-dependent communities	Communities Left Behind	0.4866014
11620_199109-391286-01	13229_200111-188356-02	defense-dependent communities	the risk community	0.5244483
11620_199109-391286-01	13951_198112-183247-02	defense-dependent communities	The Men and Women of Defense	0.5558879
11620_199109-391286-01	22110_200205-317835-01	defense-dependent communities	affected frontline communities	0.48937854
32111_200105-285018-01	61620_201211-429725-01	communities in protected areas	rainbow communities	0.4786773
32111_200105-285018-01	64110_199911-352087-01	communities in protected areas	caring communities	0.5009521
32111_200105-285018-01	171101_199707-302977-01	communities in protected areas	-marital communities	0.47959298
32111_200105-285018-01	86710_201804-275016-03	communities in protected areas	the religious communities	0.5447982
32111_200105-285018-01	32720_200105-286476-02	communities in protected areas	CANADIAN COMMUNITIES	0.5233555
32111_200105-285018-01	41320_201309-157942-05	communities in protected areas	coal communities	0.49836868
32111_200105-285018-01	92436_201110-365148-03	communities in protected areas	Communities Left Behind	0.53639543
32111_200105-285018-01	13229_200111-188356-02	communities in protected areas	the risk community	0.564975
32111_200105-285018-01	62110_200810-96933-02	communities in protected areas	Owners of protected houses and facilities	0.6395838
32111_200105-285018-01	42110_201309-17078-02	communities in protected areas	our Pasefika communities	0.45666784
32111_200105-285018-01	21914_199906-48123-02	communities in protected areas	Protected customers	0.5124381
32111_200105-285018-01	41320_199012-127641-02	communities in protected areas	Renewable Energy Communities	0.51905835
32111_200105-285018-01	51110_201912-248558-03	communities in protected areas	The agglomeration communities	0.45840582
32111_200105-285018-01	22110_200205-317835-01	communities in protected areas	affected frontline communities	0.47557575
32111_200105-285018-01	21112_200706-65170-01	communities in protected areas	areas of	0.4626432
32111_200105-285018-01	11620_199109-391286-01	communities in protected areas	defense-dependent communities	0.67826617
82110_200606-114606-01	61620_201211-429725-01	communities that receive large amounts of tourists	rainbow communities	0.46100867
82110_200606-114606-01	64110_199911-352087-01	communities that receive large amounts of tourists	caring communities	0.45259017
82110_200606-114606-01	86710_201804-275016-03	communities that receive large amounts of tourists	the religious communities	0.48557577
82110_200606-114606-01	21112_201405-79872-02	communities that receive large amounts of tourists	8.5 million inhabitants	0.5261146
82110_200606-114606-01	32720_200105-286476-02	communities that receive large amounts of tourists	CANADIAN COMMUNITIES	0.50852585
82110_200606-114606-01	41320_201309-157942-05	communities that receive large amounts of tourists	coal communities	0.4726373
82110_200606-114606-01	92436_201110-365148-03	communities that receive large amounts of tourists	Communities Left Behind	0.49486384
82110_200606-114606-01	92436_201910-370908-03	communities that receive large amounts of tourists	New Zealander tourists	0.5572237
82110_200606-114606-01	42110_201309-17078-02	communities that receive large amounts of tourists	our Pasefika communities	0.47464353
82110_200606-114606-01	41320_199012-127641-02	communities that receive large amounts of tourists	Renewable Energy Communities	0.47243106
82110_200606-114606-01	41113_200909-144855-01	communities that receive large amounts of tourists	relevant communities	0.4543722
82110_200606-114606-01	32111_200105-285018-01	communities that receive large amounts of tourists	communities in protected areas	0.5451398
22110_199805-315291-01	64110_199911-352087-01	virtual communities on the Internet	caring communities	0.47763973
22110_199805-315291-01	92436_201110-365148-03	virtual communities on the Internet	Communities Left Behind	0.47813514
22110_199805-315291-01	22110_200205-317835-01	virtual communities on the Internet	affected frontline communities	0.47616905
